sortNumber;code;officialTitle;mediumTitle;shortTitle;note
106;SK0211501611;Dolny Stal;Dolny Stal;Dolny Stal;501611
107;SK0211501620;Hubice;Hubice;Hubice;501620
108;SK0211501638;Hviezdoslavov;Hviezdoslavov;Hviezdoslavov;501638
109;SK0211501654;Jahodna;Jahodna;Jahodna;501654
110;SK0211501662;Janiky;Janiky;Janiky;501662
111;SK0211501671;Jurova;Jurova;Jurova;501671
112;SK0211501689;Klucovec;Klucovec;Klucovec;501689
113;SK0211501697;Kostolne Kracany;Kostolne Kracany;Kostolne Kracany;501697
114;SK0211501701;Kralovicove Kracany;Kralovicove Kracany;Kralovicove Kracany;501701
115;SK0211501719;Kutniky;Kutniky;Kutniky;501719
116;SK0211501727;Kvetoslavov;Kvetoslavov;Kvetoslavov;501727
117;SK0211501735;Lehnice;Lehnice;Lehnice;501735
